1672
qstr_Not_enough_energy! Not_enough_energy!
qstr_The_gem_contains_the_ The_gem_contains_the_power_of_air._^tactics_+1,_pathfinding_+1
qstr_The_gem_contains_the_p The_gem_contains_the_power_of_earth._^surgery_+1,_increase_health_recover_rate.
qstr_The_gem_contains_the_po The_gem_contains_the_power_of_water._^first_aid_+1,_wound_treatment_+1
qstr_The_gem_contains_the_pow The_gem_contains_the_power_of_fire._^spotting_+1,_engineer_+1
qstr_cbt_text cbt_text
qstr_xingchen_tishi xingchen_tishi
qstr_The_holy_force_is_lo The_holy_force_is_locked_somewhere,_^or_it_is_there_to_represent_the_^highest_golry_for_the_stronger.
qstr_Camping_at_the_north Camping_at_the_north-east_snow_field_neat_the_sea,_^when_the_stars_are_flaming_and_the_horn_is_sound,_^the_hero's_will_will_reappear._
qstr_Camping_at_the_south Camping_at_the_south-west_desert_near_the_lake,_^when_the_stars_are_flaming_and_the_horn_is_sound,_^the_hero's_will_will_reappear._
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Accompany Accompany
qstr_Shortcuts Shortcuts
qstr_Rapid_march Rapid_march
qstr_{s3}_{s2} {s3}_{s2}
qstr_Sneak_march Sneak_march
qstr_Normal Normal
qstr_Army_Status:{s10} Army_Status:{s10}
qstr_last_tactics_points: last_tactics_points:{reg1}
qstr_To_lure_the_enemy To_lure_the_enemy
qstr_lure_success_remaini lure_success_remaining_{reg1}
qstr_lure_failure_remaini lure_failure_remaining_{reg1}
qstr_companions:{reg1}/{r companions:{reg1}/{reg2}_prisoners:{reg3}/{reg4}
qstr_lure_success lure_success
qstr_lure_failure lure_failure
qstr_tactics_points_not_e tactics_points_not_enough
qstr_Stop_a_rapid_march. Stop_a_rapid_march.
qstr_Your_troops_began_a_ Your_troops_began_a_rapid_march.
qstr_wind_gem_effect wind_gem_effect
qstr_wind_gem_effect_txt wind_gem_effect_txt
qstr_Low_morale!_Can_not_ Low_morale!_Can_not_be_a_rapid_march.
qstr_You_are_in_the_enemy You_are_in_the_enemy's_field_of_vision,_can_not_sneak!
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_{!}_{s61} {!}_{s61}
qstr_{!}DEBUG____ERROR:_M {!}DEBUG_--_ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{!}DEBUG____Caravan_ {!}DEBUG_--_Caravan_trades_in_{s4},_originally_from_{s5}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_{!}{s4}_is_sent_to_{ {!}{s4}_is_sent_to_{s5}_after_defeat
qstr_{!}DEBUGS_:_enemy_lo {!}DEBUGS_:_enemy_loses_:_{reg0}
qstr_{!}DEBUGS1_:_total_g {!}DEBUGS1_:_total_gain_:_{reg0}
qstr_{!}DEBUGS2_:_total_g {!}DEBUGS2_:_total_gain_:_{reg0}
qstr_{!}DEBUGS3_:_num_pla {!}DEBUGS3_:_num_player_party_shares:{reg0},_total_gain:{reg1}
qstr_killed killed
qstr_wounded wounded
qstr_{!}{reg3?{reg3}:}_{s {!}{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}_{reg3?{reg3} {!}{s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}^{reg3?{reg3} {!}{s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_Time_renewed:_{s63} Time_renewed:_{s63}
qstr_zhu_xian_323 zhu_xian_323
qstr_zhu_xian_32 zhu_xian_32
qstr_The_mainline_quest_i The_mainline_quest_is_renewed!
qstr_{s6} {s6}
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_{!}DEBUG____Checking {!}DEBUG_--_Checking_for_denounce_lord,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Rival_fo {!}DEBUG_--_Rival_found_in_{s4}
qstr_{!}DEBUG____{s4}_is_ {!}DEBUG_--_{s4}_is_not_close_friend_of_player
qstr_{!}DEBUG____{s4}_has {!}DEBUG_--_{s4}_has_{reg3}_rivals
qstr_{!}DEBUG____Checking_ {!}DEBUG_--_Checking_for_intrigue,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Trying_f {!}DEBUG_--_Trying_for_intrigue_against_lord
qstr_{!}DEBUG____{s4}_has_ {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_liege
qstr_{!}DEBUG____{s4}_has_s {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_giver_troop
qstr_{!}DEBUG____{s4}_has_su {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_player
qstr_{!}DEBUG____Checking_f {!}DEBUG_--_Checking_for_resolve_dispute,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Checking_fo {!}DEBUG_--_Checking_for_offer_gift,_eligible_in_{reg4}_days
qstr_raoluanchenggong raoluanchenggong
qstr_raoluanshibai raoluanshibai
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_normal_faction_change
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_by_guardian_moving
qstr_{!}DEBUG____{s4}_awa {!}DEBUG_--_{s4}_awarded_to_{s5}
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_{!}DEBUG_:_There_are {!}DEBUG_:_There_are_already_enemies_({s6})_inside_{s7}.
qstr_{!}DEBUG____Calculat {!}DEBUG_--_Calculating_sortie_for_{s4}_strength_of_{reg3}_vs_{reg4}_enemies
qstr_Small_bands_of_enemi Small_bands_of_enemies_spotted_near_{s1}.
qstr_Enemy_patrols_spotte Enemy_patrols_spotted_near_{s1}.
qstr_Medium_sized_group_o Medium-sized_group_of_enemies_spotted_near_{s1}.
qstr_Significant_group_of Significant_group_of_enemies_spotted_near_{s1}.
qstr_Army_of_enemies_spot Army_of_enemies_spotted_near_{s1}.
qstr_Large_army_of_enemie Large_army_of_enemies_spotted_near_{s1}.
qstr_Great_host_of_enemie Great_host_of_enemies_spotted_near_{s1}.
qstr_{!}DEBUG_:_{s7}_is_h {!}DEBUG_:_{s7}_is_helping_his_commander_by_fighting_with_{s6}.
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr__{s1}__{s11}:_{s14} ({s1})_{s11}:_{s14}
qstr_{s14}__{s21}_ {s14}_({s21})
qstr_{!}DEBUG____{s4}_dro {!}DEBUG_--_{s4}_drops_{s5}_as_issue_as_it_has_changed_hands
qstr_{!}DEBUG____Issue_re {!}DEBUG_--_Issue_resolution_for_{s4}:_{reg4}_votes_for_a_quorum_of_{reg5},_{reg7}_hours_on_agenda
qstr_{!}DEBUG____Faction_ {!}DEBUG_--_Faction_resolves_political_issue
qstr_{!}DEBUG____{s4}_drop {!}DEBUG_--_{s4}_drops_{s5}_as_winner,_for_having_changed_sides
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshal_of_{s2}.
qstr_{!}DEBUG____{s4}_par {!}DEBUG_--_{s4}_participates_in_offensive
qstr_{!}DEBUG____{s4}_cho {!}DEBUG_--_{s4}_chosen_as_screen
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{!}DEbug___{s5}_cara {!}DEbug_-_{s5}_caravan_attacked
qstr_{s1}_and_{s2}_have_m {s1}_and_{s2}_have_made_peace_with_each_other.
qstr_{!}DEBUG____Player_s {!}DEBUG_--_Player's_kingdom_has_had_{reg3}_days_of_peace
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_the_field_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg4?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party.
qstr_{!}DEBUG____{s4}_is_p {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_attending_the_feast
qstr_{!}DEBUG____{s4}_is_pr {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_awaiting_the_player_in_private
qstr_{!}DEBUG____{s4}_is_pre {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_allowed_to_meet_the_player
qstr_{!}DEBUG____{s4}is_p {!}DEBUG_--_{s4}is_present_at_the_center_and_is_not_allowed_to_meet_the_player
qstr_You_now_owe_{reg2}_d You_now_owe_{reg2}_denars_to_{s1}.
qstr_Renown_value_for_thi Renown_value_for_this_battle_is_{reg8}.
qstr_You_have_run_into_a_ You_have_run_into_a_trap!
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_bandits!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_{!}{reg10} {!}{reg10}
qstr_{!}{reg11} {!}{reg11}
qstr_{!}{reg12} {!}{reg12}
qstr_{!}DEBUG_:_{s1}_is_t {!}DEBUG_:_{s1}_is_trading_with_villagers
qstr_{!}DEBUG____Trade_of {!}DEBUG_--_Trade_of_{s5}_from_{s3}_to_{s4}_brings_price_from_{reg4}_to_{reg5}
qstr_{!}DEBUG___{s4}_factio {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_1
qstr_{!}DEBUG___{s4}_faction {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_3
qstr_{s1}_Rebels {s1}_Rebels
qstr_{!}DEBUG___{s4}_faction_ {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_2
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_completed_progressio completed_progression_{reg0}%
qstr_{s4}_{s3} {s4}_{s3}
qstr_{s5} {s5}
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{!}{s4}_is_in_{s5} {!}{s4}_is_in_{s5}
qstr_{!}DEBUG___{s1}_is_i {!}DEBUG_--{s1}_is_infested_by_bandits.
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_The_last_time_you_sa The_last_time_you_saw_{reg1?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg1?her:him},_{s1}
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Very_Poor Very_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Very_Rich Very_Rich
qstr_{!}DEBUG_:_Doing_spa {!}DEBUG_:_Doing_spawn_bandit_script
qstr_Because_ammunition_c Because_ammunition_consumption,_you_spend_{reg1}_Denars.
qstr_Manor Manor
qstr_A_manor_lets_you_res A_manor_lets_you_rest_at_the_village_and_pay_your_troops_half_wages_while_you_rest.
qstr_Mill Mill
qstr_A_mill_increases_vil A_mill_increases_village_prosperity_by_5%.
qstr_Watch_Tower Watch_Tower
qstr_A_watch_tower_lets_t A_watch_tower_lets_the_villagers_raise_alarm_earlier._The_time_it_takes_for_enemies_to_loot_the_village_increases_by_50%.
qstr_School School
qstr_A_shool_increases_th A_shool_increases_the_loyality_of_the_villagers_to_you_by_+1_every_month.
qstr_Messenger_Post Messenger_Post
qstr_A_messenger_post_let A_messenger_post_lets_the_inhabitants_send_you_a_message_whenever_enemies_are_nearby,_even_if_you_are_far_away_from_here.
qstr_Prison_Tower Prison_Tower
qstr_A_prison_tower_reduc A_prison_tower_reduces_the_chance_of_captives_held_here_running_away_successfully.
qstr_fire_gem_effect fire_gem_effect
qstr_fire_gem_effect3 fire_gem_effect3
qstr_fire_gem_effect4 fire_gem_effect4
qstr_Prosperity_of_{s2}_h Prosperity_of_{s2}_has_changed_from_{s3}_to_{s4}.
qstr_{!}DEBUG:_Total_pros {!}DEBUG:_Total_prosperity_actual_losses:_{reg11}
qstr_{!}DEBUG:_Total_prosp {!}DEBUG:_Total_prosperity_actual_gains:_{reg12}
qstr_{!}DEBUG:_Prosperity {!}DEBUG:_Prosperity_changes_from_random_bandits:_{reg4}
qstr_{!}DEBUG:_Prosperity_ {!}DEBUG:_Prosperity_changes_from_caravan_trades:_{reg5}
qstr_{!}DEBUG:_Prosperity_c {!}DEBUG:_Prosperity_changes_from_farmer_trades:_{reg9}
qstr_{!}DEBUG:_Prosperity_ch {!}DEBUG:_Prosperity_changes_from_looted_villages:_{reg7}
qstr_{!}DEBUG:_Prosperity_cha {!}DEBUG:_Prosperity_changes_from_sieges:_{reg8}
qstr_{!}DEBUG:_Theoretica {!}DEBUG:_Theoretical_prosperity_changes_from_convergence:_{reg10}
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_{reg3}_h You_brought_{reg3}_heads_of_cattle_to_{s1}.
qstr_{!}Village_now_has_{ {!}Village_now_has_{reg4}
qstr_I_heard_that_there_w I_heard_that_there_will_be_a_tournament_in_{s62}_soon.
qstr_I_heard_that_one_can I_heard_that_one_can_buy_{s62}_very_cheap_at_{s63}.
qstr_I_heard_that_they_pa I_heard_that_they_pay_a_very_high_price_for_{s62}_at_{s63}.
qstr_{!}Log_entry_{reg3}: {!}Log_entry_{reg3}:_type_{reg4}
qstr_{!}Center:_{s4} {!}Center:_{s4}
qstr_{!}Troop:_{s4} {!}Troop:_{s4}
qstr_{!}Lord:_{s4} {!}Lord:_{s4}
qstr_{!}Ally_party_is_pre {!}Ally_party_is_present
qstr_{!}{s4}_is_present_a {!}{s4}_is_present_at_event
qstr_{!}Event_#{reg5}_typ {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_{!}Event_#{reg5}_type {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_{!}Event_#{reg5}_type_ {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_{!}Event_#{reg5}_type_{ {!}Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_{!}Event_#{reg5}_type_{r {!}Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_{!}Elapsed_hours:_{r {!}Elapsed_hours:_{reg7}
qstr_{!}Reputation_type:_ {!}Reputation_type:_{s15}
qstr_{!}Entries_up_to_#{r {!}Entries_up_to_#{reg5}_skipped
qstr_two_days_ago two_days_ago
qstr_Dark_Durhua_Empire Dark_Durhua_Empire
qstr_{!}DEBUG___{s4}_faction_c {!}DEBUG_-_{s4}_faction_changed_in_subornment
qstr_{!}{s4}_inflicts_{re {!}{s4}_inflicts_{reg4}_damage_on_{s5},_raising_total_inflicted_to_{reg3}
qstr_{!}War_damage_raises {!}War_damage_raises_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}War_damage_lowers {!}War_damage_lowers_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}G_talk_troop_{s20 {!}G_talk_troop_{s20}_evaluates_being_vassal_to_{s22}_of_{s21}
qstr_{!}DEBUG____Analyzin {!}DEBUG_--_Analyzing_lord_allegiances,_combined_bonuses_and_penalties_=_{reg0}
qstr_{!}DEBUG____Total_co {!}DEBUG_--_Total_courtship_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ra {!}DEBUG_--_Total_random_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ba {!}DEBUG_--_Total_battle_changes_for_allies:_{reg4}
qstr_{!}DEBUG____Total_bat {!}DEBUG_--_Total_battle_changes_for_enemies:_{reg4}
qstr_{!}DEBUG____Total_pr {!}DEBUG_--_Total_promotion_changes:_{reg4}
qstr_{!}DEBUG____Total_fe {!}DEBUG_--_Total_feast_changes:_{reg4}
qstr_{!}DEBUG____Total_po {!}DEBUG_--_Total_policy_dispute_changes:_{reg4}_from_{reg5}_decisions
qstr_{!}DEBUG____Total_fa {!}DEBUG_--_Total_faction_switch_changes:_{reg4}
qstr_{!}DEBUG____Total_no {!}DEBUG_--_Total_no_fief_changes:_{reg4}
qstr_{!}DEBUG____Total_ch {!}DEBUG_--_Total_changes_through_convergence:_{reg4}
qstr_{!}DEBUG____Total_va {!}DEBUG_--_Total_vassal_responses_to_campaign:_{reg4}
qstr_{!}DEBUG____Total_vas {!}DEBUG_--_Total_vassal_campaign_days:_{reg4}
qstr_{!}DEBUG____Vassal_r {!}DEBUG_--_Vassal_response_rate:_{reg4}
qstr_{!}DEBUG___{s4}_s_fe {!}DEBUG_-_{s4}'s_feast_has_rating_of_{reg4}
qstr_{!}_DEBUG___{s4}_fac {!}_DEBUG_-_{s4}_faction_change_in_marriage_case_5
qstr_{!}DEBUG___{s4}_faction_ch {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_6
qstr_{!}DEBUG___{s4}_stro {!}DEBUG_-_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}Actor_centers_hel {!}Actor_centers_held_by_target_noted
qstr_{!}War_damage_under_ {!}War_damage_under_minimum
qstr_{!}Strength_ratio_co {!}Strength_ratio_correct
qstr_{!}Third_party_wars {!}Third_party_wars
qstr_{!}DEBUG____No_third {!}DEBUG_--_No_third_party_wars_for_{s15}
qstr_{!}DEBUG____{s15}_is {!}DEBUG_--_{s15}_is_strongest_kingdom
qstr_{!}DEBUG____{s15}_ha {!}DEBUG_--_{s15}_has_30_point_advantage_over_{s16}
qstr_{!}DEBUG____{s15}_has {!}DEBUG_--_{s15}_has_proximity_to_{s16}
qstr_{!}DEBUG____hardship {!}DEBUG_--_hardship_index_for_{s4}_=_{reg0}
qstr_{!}Castle_taken_by_{ {!}Castle_taken_by_{s3}
qstr_{!}Two_thirds_averag {!}Two-thirds_average_renown_=_{reg3}
qstr_{!}DEBUG____Colleagu {!}DEBUG_--_Colleague_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____Open_tes {!}DEBUG_--_Open_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____{s8}_bac {!}DEBUG_--_{s8}_backs_{s9}:{s10}
qstr_{!}DEBUG____{s4}_pro {!}DEBUG_--_{s4}_produces_a_faction_strategy_for_{s33}
qstr_{!}Best_offensive_ta {!}Best_offensive_target_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_t {!}No_center_found_to_attack
qstr_{!}Best_threat_of_{s {!}Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_to {!}No_center_found_to_defend
qstr_Best_threat_of_{s4}_ Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_No_center_found_to_d No_center_found_to_defend
qstr_You_gain_right_to_ru You_gain_right_to_rule.
qstr_You_lose_right_to_ru You_lose_right_to_rule.
qstr_{!}DEBUG___{s4}_faction_cha {!}DEBUG_-_{s4}_faction_changed_in_indictment
qstr_{!}{s9} {!}{s9}
qstr_p_lines_k_1 p_lines_k_1
qstr_p_lines_k_2 p_lines_k_2
qstr_p_lines_d_1 p_lines_d_1
qstr_p_lines_d_2 p_lines_d_2
qstr__{reg50}{reg51}_ ({reg50},{reg51})
qstr_/ /
qstr_E E
qstr_D D
qstr_C C
qstr_B B
qstr_A A
qstr_S S
qstr__{s2}_leader_ ({s2}_leader)
qstr__Commander_ (Commander)
qstr_{s1}:_{s2} {s1}:_{s2}
qstr_{s10}_Come_along_wit {s10},_Come_along_with_me!
qstr_Energy_restored! Energy_restored!
qstr_{s59}_CHA_raised_{re {s59}_CHA_raised_{reg59}
qstr_{s59}_CHA_reduced_{r {s59}_CHA_reduced_{reg59}
qstr_{s59}_Ironflesh_rais {s59}_Ironflesh_raised_{reg59}
qstr_{s59}_Ironflesh_redu {s59}_Ironflesh_reduced_{reg59}
qstr_{s59}_Power_Strike_r {s59}_Power_Strike_raised_{reg59}
qstr_{s59}_Power_Strike_re {s59}_Power_Strike_reduced_{reg59}
qstr_{s59}_Shield_raised_ {s59}_Shield_raised_{reg59}
qstr_{s59}_Shield_reduced {s59}_Shield_reduced_{reg59}
qstr_{s59}_Athletics_rais {s59}_Athletics_raised_{reg59}
qstr_{s59}_Athletics_redu {s59}_Athletics_reduced_{reg59}
qstr_{s59}_Power_Throw_ra {s59}_Power_Throw_raised_{reg59}
qstr_{s59}_Power_Throw_re {s59}_Power_Throw_reduced_{reg59}
qstr_{s59}_Power_Draw_rai {s59}_Power_Draw_raised_{reg59}
qstr_{s59}_Power_Draw_red {s59}_Power_Draw_reduced_{reg59}
qstr_{s1}_gained_{reg1?{r {s1}_gained_{reg1?{reg1}_Exp._of_Infantry_leadership:}{reg2?,_{reg2}_Exp._of_Archers_leadership:{reg3?:.}}{reg3?,_{reg3}_Exp._of_Cavalry_leadership.:}
qstr_none none
qstr_Archers Archers
qstr_{s1}__{s2}_leadershi {s1}'_{s2}_leadership_upgrade_from_the_{s3}_to_{s4}.
qstr_Mercenaries Mercenaries
qstr_Outlaws Outlaws
qstr_Rangers Rangers
qstr_Others Others
qstr_meng_xing meng_xing
qstr_I_help_you_~_!! I_help_you_~_!!
qstr_oguma_1 oguma_1
qstr_Hooooooo_~_~_!!! Hooooooo_~_~_!!!
qstr_Someone_help_~_~_!! Someone_help_~_~_!!
qstr_la_la_la_la_la la_la_la_la_la
qstr_Everyone_Charge!! Everyone,_Charge!!
qstr_baheshtur_1st_linse baheshtur_1st_linse
qstr_{s2}:{s1} {s2}:{s1}
qstr_Delivered_{reg1}_dam Delivered_{reg1}_damage.
qstr_{s1}_wounded_by_{s2} {s1}_wounded_by_{s2}.
qstr_{s1}_killed_by_{s2}. {s1}_killed_by_{s2}.
qstr_Clouly_storm!! Clouly_storm!!
qstr_Powerful_strike!! Powerful_strike!!
qstr_Prairie_fire!! Prairie_fire!!
qstr_{s1}:_Doomsday_storm {s1}:_Doomsday_storm!!
qstr_{s1}:_Darkness_thund {s1}:_Darkness_thunderbolt!!
qstr_{s1}:_Clouly_storm!! {s1}:_Clouly_storm!!
qstr_found_success found_success
qstr_The_nearest_{s2}_wit The_nearest_{s2}_with_us_should_be_around_{s3}.
qstr_sky_gem_effect sky_gem_effect
qstr_sky_gem_effect2_txt sky_gem_effect2_txt
qstr_found_failure found_failure
qstr_You_have_got_special You_have_got_special_item!
qstr_Your_enemy_into_chao Your_enemy_into_chaos!
qstr_{s59}_s_dmsg_are_not {s59}'s_dmsg_are_not_full
qstr_{s59}_remove_headhun {s59}_remove_headhunter_crown
qstr_{s59}_s_damascus_ste {s59}'s_damascus_steel_armor_and_crown_are_not_full
qstr_{s59}_remove_fightin {s59}_remove_fighting_gloves
qstr_{s59}_remove_nobles_ {s59}_remove_nobles_riding_boots
qstr_{s59}_remove_knight_ {s59}_remove_knight_sword
qstr_{s59}_remove_tang_sw {s59}_remove_tang_sword
qstr_{s59}_remove_excalib {s59}_remove_excalibur
qstr_{s59}_remove_persian {s59}_remove_persian_king's_sword
qstr_{s59}_remove_narsil {s59}_remove_narsil
qstr_{s59}_remove_trgba {s59}_remove_trgba
qstr_{s59}_remove_iron_st {s59}_remove_iron_staff_ex
qstr_{s59}_remove_steelhe {s59}_remove_steelhead_iron_spear
qstr_{s59}_remove_gai_bol {s59}_remove_gai-bolga
qstr_{s59}_remove_haemoph {s59}_remove_haemophilus_cast_spear
qstr_{s59}_remove_elven_b {s59}_remove_elven_bow
qstr_{s59}_remove_heaven_ {s59}_remove_heaven_hammer
qstr_{s59}_equ_dmsg {s59}_equ_dmsg
qstr_{s59}_equ_headhunter {s59}_equ_headhunter_crown
qstr_{s59}_s_equ_damascus {s59}'s_equ_damascus_steel_armor_and_crown
qstr_{s59}_equ_fighting_g {s59}_equ_fighting_gloves
qstr_{s59}_equ_nobles_rid {s59}_equ_nobles_riding_boots
qstr_{s59}_equ_knight_swo {s59}_equ_knight_sword
qstr_{s59}_equ_tang_sword {s59}_equ_tang_sword
qstr_{s59}_equ_excalibur {s59}_equ_excalibur
qstr_{s59}_equ_persian_ki {s59}_equ_persian_king's_sword
qstr_{s59}_equ_narsil {s59}_equ_narsil
qstr_{s59}_equ_trgba {s59}_equ_trgba
qstr_{s59}_equ_iron_staff {s59}_equ_iron_staff_ex
qstr_{s59}_equ_steelhead_ {s59}_equ_steelhead_iron_spear
qstr_{s59}_equ_gai_bolga {s59}_equ_gai-bolga
qstr_{s59}_equ_haemophilu {s59}_equ_haemophilus_cast_spear
qstr_{s59}_equ_elven_bow {s59}_equ_elven_bow
qstr_{s59}_equ_heaven_ham {s59}_equ_heaven_hammer
qstr_{reg1}_{s1}_join_you {reg1}_{s1}_join_your_team.
qstr_earth_guard earth_guard
qstr_all_agents_hp all_agents_hp
qstr_{s1}_formation! {s1},_formation!
qstr_{s1}:_{s2}_detachmen {s1}:_{s2}_detachment,_formation!
qstr_Stop_{s1}_detachment Stop_{s1}_detachment_tactical.
qstr_{s1}_Assault_formati {s1},_Assault_formation!
qstr_{s1}:_{s2}_Assault_f {s1}:_{s2},_Assault_formation!
qstr_{s1}_dismiss_formati {s1}_dismiss_formation!
qstr_{s1}:_{s2}_detachment {s1}:_{s2}_detachment_dismiss_formation!
qstr_Time_received:_{s60} Time_received:_{s60}
qstr_Reveice_new_speciali Reveice_new_speciality:_{s3}
